time,Voltage min,Shunt current
0.0,0.0,
0.0,,0.0
0.004,,0.0
0.0081,,0.0
0.0121,,0.0
0.0162,,0.0
0.0202,,0.0
0.0243,,0.0
0.0283,,0.0
0.0324,,0.0
0.0364,,0.0
0.0405,,0.0
0.0445,,0.0
0.0486,,0.0
0.0526,,0.0
0.0567,,0.0
0.0607,,0.0
0.0648,,0.0
0.0688,,0.0
0.0729,,0.0
0.0769,,0.0
0.081,,0.0
0.085,,0.0
0.0891,,0.0
0.0931,,0.0
0.0972,,0.0
0.1012,,0.0
0.1053,,0.0
0.1093,,0.0
0.1134,,0.0
0.1174,,0.0
0.1215,,0.0
0.1255,,0.0
0.1296,,0.0
0.1336,,0.0
0.1377,,0.0
0.1417,,0.0
0.1458,,0.0
0.1498,,0.0
0.1538,,0.0
0.1579,,0.0
0.1619,,0.0
0.166,,0.0
0.17,,0.0
0.1741,,0.0
0.1781,,0.0
0.1822,,0.0
0.1862,,0.0
0.1903,,0.0
0.1943,,0.0
0.1984,,0.0
0.2024,,0.0
0.2065,,0.0
0.2105,,0.0
0.2146,,0.0
0.2186,,0.0
0.2227,,0.0
0.2267,,0.0
0.2308,,0.0
0.2348,,0.0
0.2389,,11.0
0.2429,,-1.0
0.247,,3.0
0.251,,16.0
0.2551,,-3.0
0.2591,,14.0
0.2632,,0.0
0.2672,,4.0
0.2713,,-5.0
0.2753,,9.0
0.2794,,10.0
0.2834,,2.0
0.2875,,8.0
0.2915,,5.0
0.2955,,5.0
0.2996,,4.0
0.3036,,8.0
0.3077,,6.0
0.3117,,6.0
0.3158,,8.0
0.3198,,16.0
0.3239,,6.0
0.3279,,0.0
0.332,,-2.0
0.336,,4.0
0.3401,,7.0
0.3441,,8.0
0.3482,,-1.0
0.3522,,-3.0
0.3563,,6.0
0.3603,,-7.0
0.3644,,-1.0
0.3684,,0.0
0.3725,,3.0
0.3765,,4.0
0.3806,,0.0
0.3846,,-1.0
0.3887,,-1.0
0.3927,,1.0
0.3968,,1.0
0.4008,,4.0
0.4049,,7.0
0.4089,,0.0
0.413,,0.0
0.417,,9.0
0.4211,,6.0
0.4251,,6.0
0.4292,,8.0
0.4332,,10.0
0.4373,,-3.0
0.4413,,2.0
0.4453,,0.0
0.4494,,0.0
0.4534,,2.0
0.4575,,-5.0
0.4615,,3.0
0.4656,,3.0
0.4696,,0.0
0.4737,,-1.0
0.4777,,-2.0
